isolate,location,clonal lineage
H1,H.Int,EU13A2
H2,H.Int,EU13A2
H3,H.Int,EU13A2
H7,H.Int,EU13A2
H10,H.Int,EU13A2
H11,H.Int,EU13A2
H12,H.Int,EU13A2
H13,H.Int,EU13A2
H14,H.Int,EU13A2
H16,H.Int,EU13A2
H17,H.Int,EU13A2
H18,H.Int,EU13A2
H19,H.Int,EU13A2
H20,H.Int,EU13A2
H21,H.Int,EU13A2
H22,H.Int,EU13A2
H23,H.Int,EU13A2
H24,H.Int,EU13A2
H25,H.Int,EU13A2
H26,H.Int,EU13A2
H27,H.Int,EU13A2
H28,H.Int,EU13A2
H30,H.Int,EU13A2
H32,H.Int,EU13A2
H33,H.Int,EU13A2
H34,H.Int,EU13A2
H35,H.Int,EU13A2
H36,H.Int,EU13A2
H38,H.Int,EU13A2
H39,H.Int,EU13A2
H40,H.Int,EU13A2
H41,H.Int,EU13A2
H42,H.Int,EU13A2
H44,H.Int,EU13A2
H45,H.Int,EU13A2
H46,H.Int,EU13A2
H47,H.Int,EU13A2
H48,H.Int,EU13A2
H49,H.Int,EU13A2
H50,H.Int,EU13A2
H51,H.Int,EU13A2
H52,H.Int,EU13A2
H53,H.Int,EU13A2
H54,H.Int,EU13A2
H57,H.Int,EU13A2
H62,H.Int,EU13A2
H64,H.Int,EU13A2
H68,H.Lemp,EU13A2
H69,H.Int,EU13A2
H70,H.Int,EU13A2
H72,H.Int,EU13A2
H74,H.Int,EU13A2
H80,H.Int,EU13A2
H81,H.Int,EU13A2
H82,H.Int,EU13A2
H83,H.Oco,EU13A2
H88,H.Int,EU13A2
H91,H.Int,EU13A2
H102,H.Int,US7A2
H107,H.Int,EU13A2
H112,H.FrMz,EU13A2
H117,H.Int,EU13A2
H120,H.Int,US7A2
H126,H.Int,CeA
H134,H.Int,US7A2
H137,H.Int,EU13A2
H142,H.Int,EU13A2
H149,H.Int,US7A2
H155,H.Int,CeA
H161,H.Int,US7A2
H166,H.Int,EU13A2
H55,H.Int,CeA
H59,H.Int,EU13A2
H63,H.Oco,EU13A2
H66,H.Int,EU13A2
H73,H.Int,EU13A2
H77,H.Int,EU13A2
H85,H.Int,EU13A2
H86,H.Int,EU13A2
H89,H.Int,EU13A2
H90,H.Oco,EU13A2
H94,H.Oco,EU13A2
H98,H.Int,EU13A2
H100,H.Int,EU13A2
H101,H.Int,EU13A2
H103,H.Int,EU13A2
H104,H.Int,EU13A2
H105,H.Int,EU13A2
H108,H.Int,EU13A2
H109,H.Int,EU13A2
H110,H.Int,EU13A2
H113,H.FrMz,EU13A2
H114,H.FrMz,EU13A2
H115,H.FrMz,EU13A2
H119,H.Int,EU13A2
H121,H.Int,EU13A2
H123,H.Int,EU13A2
H124,H.Int,EU13A2
H125,H.Int,EU13A2
H127,H.Int,EU13A2
H130,H.Int,EU13A2
H132,H.Int,EU13A2
H133,H.Int,EU13A2
H135,H.Int,EU13A2
H136,H.Int,EU13A2
H138,H.Int,EU13A2
H139,H.Int,EU13A2
H140,H.Int,EU13A2
H141,H.Int,EU13A2
H144,H.Int,EU13A2
H145,H.Int,EU13A2
H147,H.Int,EU13A2
H148,H.Int,EU13A2
H150,H.Int,EU13A2
H152,H.Int,EU13A2
H153,H.Int,EU13A2
H154,H.Int,EU13A2
H156,H.Int,EU13A2
H157,H.Int,EU13A2
H159,H.Int,EU13A2
H160,H.Int,EU13A2
H162,H.Int,EU13A2
H163,H.Int,EU13A2
H164,H.Int,EU13A2
H165,H.Int,EU13A2
H167,H.Int,EU13A2
H168,H.Int,EU13A2
H169,H.Int,EU13A2
H171,H.Int,EU13A2
H172,H.Int,EU13A2
H174,H.Int,EU13A2
H175,H.Int,EU13A2
H177,H.Int,EU13A2
H178,H.Int,EU13A2
H179,H.Int,EU13A2
H180,H.Int,EU13A2
H182,H.Int,EU13A2
H184,H.Int,EU13A2
H187,H.Int,EU13A2
H190,H.Int,EU13A2
H191,H.Int,EU13A2
H192,H.Int,EU13A2
H193,H.Int,EU13A2
H195,H.Int,EU13A2
H196,H.Int,EU13A2
H198,H.Int,EU13A2
H199,H.Int,EU13A2
H201,H.Int,EU13A2
H202,H.Int,EU13A2
H203,H.Int,EU13A2
H204,H.Int,EU13A2
H206,H.Int,EU13A2
H207,H.Int,EU13A2
H211,H.Int,EU13A2
H215,H.Int,EU13A2
H217,H.Int,EU13A2
H218,H.Int,EU13A2
H221,H.Int,EU13A2
H223,H.Int,EU13A2
H227,H.Int,EU13A2
H228,H.Int,EU13A2
H231,H.Int,EU13A2
H233,H.Int,EU13A2
H235,H.Int,EU13A2
H236,H.Int,EU13A2
H238,H.Int,EU13A2
H242,H.Int,EU13A2
H244,H.Int,EU13A2
H247,H.Int,EU13A2
G15,G.Sm,EU13A2
G16,G.Sm,EU13A2
G23,G.Cht,EU13A2
G29,G.Sol,CeA
G40,G.Htg,EU13A2
G41,G.Htg,US7A2
G49,G.Htg,US7A2
G52,G.Htg,US7A2
G53,G.Htg,CeA
CRA_W_011-13A2,EU13A2,EU13A2
13_14AN1_1-13A2,EU13A2,EU13A2
25_14AN3_5-13A2,EU13A2,EU13A2
P10106-US7A2,US7A2,US7A2

